iter	Passed	Remaining
0	3	2929
1	6	2968
2	10	2895
3	13	2898
4	16	2903
5	20	2894
6	23	2858
7	26	2842
8	29	2852
9	33	2845
10	36	2845
11	39	2835
12	43	2829
13	46	2833
14	49	2838
15	53	2842
16	56	2839
17	60	2855
18	64	2860
19	67	2869
20	71	2877
21	74	2883
22	78	2883
23	82	2884
24	85	2887
25	89	2886
26	92	2888
27	96	2887
28	99	2884
29	103	2882
30	107	2890
31	110	2897
32	114	2900
33	118	2904
34	122	2911
35	126	2915
36	130	2924
37	134	2932
38	138	2939
39	142	2948
40	146	2950
41	150	2954
42	154	2960
43	158	2959
44	162	2963
45	167	2986
46	172	3014
47	177	3034
48	183	3058
49	188	3084
50	193	3105
51	199	3127
52	205	3155
53	211	3187
54	217	3220
55	224	3254
56	229	3269
57	235	3283
58	239	3289
59	244	3288
60	248	3292
61	253	3291
62	258	3306
63	263	3310
64	267	3310
65	272	3311
66	277	3313
67	281	3309
68	285	3306
69	289	3300
70	293	3297
71	297	3293
72	302	3289
73	304	3269
74	308	3265
75	312	3259
76	316	3249
77	319	3240
78	323	3230
79	327	3221
80	330	3214
81	334	3205
82	338	3199
83	341	3191
84	345	3184
85	349	3176
86	353	3170
87	357	3164
88	361	3161
89	365	3158
90	369	3155
91	374	3154
92	378	3152
93	383	3153
94	387	3155
95	392	3156
96	396	3155
97	401	3151
98	405	3146
99	408	3140
100	412	3134
101	416	3127
102	420	3121
103	424	3116
104	428	3111
105	432	3106
106	436	3101
107	439	3094
108	443	3087
109	447	3080
110	450	3073
111	454	3066
112	457	3059
113	461	3052
114	465	3045
115	468	3038
116	472	3031
117	475	3024
118	479	3018
119	483	3012
120	486	3006
121	490	2999
122	494	2992
123	497	2986
124	501	2979
125	504	2973
126	508	2966
127	512	2960
128	515	2954
129	519	2949
130	522	2941
131	527	2938
132	530	2932
133	534	2926
134	537	2920
135	541	2914
136	545	2908
137	548	2902
138	552	2896
139	556	2891
140	559	2886
141	563	2880
142	567	2874
143	570	2868
144	574	2862
145	577	2856
146	581	2849
147	584	2844
148	588	2838
149	591	2833
150	595	2827
151	599	2822
152	602	2817
153	606	2809
154	609	2805
155	613	2801
156	617	2797
157	621	2792
158	625	2786
159	628	2782
160	632	2778
161	636	2774
162	640	2770
163	644	2766
164	648	2762
165	652	2758
166	655	2753
167	659	2748
168	663	2744
169	667	2740
170	671	2735
171	675	2731
172	678	2726
173	682	2722
174	686	2718
175	690	2713
176	693	2707
177	697	2702
178	700	2697
179	704	2692
180	708	2687
181	711	2682
182	715	2677
183	718	2672
184	722	2667
185	726	2663
186	729	2658
187	733	2653
188	737	2648
189	740	2643
190	744	2638
191	747	2633
192	751	2628
193	754	2623
194	758	2617
195	761	2612
196	765	2607
197	769	2602
198	772	2597
199	776	2592
200	779	2587
201	783	2583
202	787	2578
203	790	2573
